location_id,management_professional_and_related,service,sales_and_office,farming_fishing_and_forestry,construction_extraction_maintenance_and_repair,production_transportation_and_material_moving,median_earnings_2010,unemployment
4401,26.5,19.3,20,2.7,10.8,20.8,25710.15556,0.088
4402,35.35,15.55,23.45,2.3,8.1,15.3,25534.91873,0.046
4403,46.05,14.35,24.6,0.5,6,8.55,30910.04,0.047
4404,24.1,17.95,20.85,13.95,8.8,14.35,22364.38064,0.158
4405,34.5,23.5,24.35,0.1,6.3,11.25,25105.28095,0.093
4406,26.65,16.95,25.7,0.3,13.25,17.2,18756.30476,0.099
4407,40.9,16.6,25,0.4,6.55,10.55,27758.97016,0.07
4408,26.3,17.05,22.6,0.9,12.15,21,26598.43524,0.075
4409,33.4,18.15,28,0.2,10.3,9.85,26042.76635,0.066
4410,42.6,11.7,27.05,0.15,7.15,11.35,39045.15524,0.06
4411,30.6,17.65,26.15,0.2,10.75,14.6,23762.89778,0.073
4412,36.65,24.35,22.6,0.45,6.2,9.75,16040.99683,0.076
4413,23,21.45,20,1.15,9.25,25.1,19542.53524,0.108
4414,27.15,16.5,25.7,2.7,12.7,15.25,23329.98603,0.083
4415,26.1,18.05,27.1,0.45,9.8,18.45,24023.88222,0.097
4416,24.55,20.25,24.3,0.25,11.4,19.2,15589.32032,0.126
4417,25.65,20,27.8,1.2,13.65,11.65,24256.58,0.094
4418,36.1,15.9,28.6,0.1,7.85,11.45,36324.45429,0.099
4419,35.4,18.8,22.25,0.95,10.7,11.9,26065.98064,0.059
4420,29.45,15.1,23.1,1.1,8.65,22.6,25646.52889,0.055
4421,43.7,14.6,23.75,0.5,9.6,7.9,30114.46254,0.048
4422,24.7,13.75,20.9,1.15,15.9,23.55,24699.74318,0.098
4423,29.65,18.55,26.8,0.2,9.45,15.35,27741.67651,0.073
4424,20.25,13.55,22.65,0.6,18.05,25,26875.00381,0.076
4425,23.15,18.3,18.8,1.6,10.1,28.05,22326.54826,0.072
4426,29.15,19.9,24.35,1.75,8.05,16.75,19492.37937,0.141
4427,31.8,19.3,20.6,1.65,10.75,15.8,20614.25619,0.085
