location_id,total_votes,republicans_2016,democrats_2016,green_2016,libertarians_2016
4256,64248,42.13983315,52.15882206,1.64363093,3.920744615
4257,7713,65.96654998,33.13885648,0.194476857,0.375988591
4258,380972,41.2466008,51.74291024,1.475174029,5.535314931
4259,7579,76.44808022,20.02902758,0.752078111,2.309011743
4260,5912,65.37550744,24.44181326,0.794993234,8.01759134
4261,31346,65.93504753,30.25266382,0.606137944,2.600012761
4262,53813,80.61063312,15.49811384,0.421831156,3.469421887
4263,113509,17.75894422,75.04691258,3.362728947,3.367133884
4264,9731,63.25146439,30.89096701,1.788099887,4.069468708
4265,71882,53.76311177,41.0339167,0.920953785,3.839626054
4266,26120,81.80321593,15.31776417,0.432618683,2.446401225
4267,17350,79.62536023,18.09798271,,2.276657061
4268,141088,55.75314697,39.16704468,0.777528918,3.853623271
4269,8872,56.751578,40.5207394,0.304328224,1.758340848
4270,10011,57.11717111,37.74847668,0.619318749,3.046648686
4271,127609,60.64384174,33.22649656,1.137850779,4.471471448
4272,19697,64.69005432,30.74579885,0.812306443,3.061379906
4273,5451,63.08934141,34.83764447,0.311869382,1.449275362
4274,37728,66.05173876,30.39652248,0.583121289,2.449109415
4275,3850,75.42857143,17.71428571,1.090909091,5.766233766
4276,8017,39.65323687,46.41387053,0.910565049,11.98702757
4277,12727,52.79327414,40.66158561,1.91718394,4.627956313
4278,8427,67.41426368,28.08828765,0.522131245,2.931054942
4279,6289,71.14008586,22.42009858,1.367467006,5.072348545
4280,50703,50.76228231,42.94814902,1.990020314,4.29954835
4281,8771,55.56949037,43.07376582,0.330635047,0.615665261
4282,8196,72.35236701,23.77989263,0.475841874,2.452415813
4283,54080,43.08616864,50.42714497,1.292529586,4.622781065
4284,554711,34.67174799,60.56505099,1.043606491,3.398346166
4285,19136,48.1291806,50.04703177,0.355351171,1.468436455
4286,415972,25.43897185,68.91281144,1.808775591,3.513457637
4287,14203,67.45053862,24.97359713,1.126522566,4.646905583
4288,84879,65.49676598,28.64548357,1.132199955,4.72555049
4289,6329,64.3387581,34.46042029,0.237004266,0.616211092
4290,5024,78.60270701,19.92436306,0.298566879,0.537420382
4291,17428,78.10993803,17.62106954,0.573789305,3.695203121
4292,16625,65.60601504,17.58796992,0.745864662,2.508270677
4293,12108,80.86389164,16.35282458,0.487281136,1.742649488
4294,12829,67.16033986,27.20399096,0.997739496,4.637929691
4295,12108,73.99240172,21.86983812,0.875454245,2.494218698
4296,13497,59.76883752,38.2529451,0.244498778,0.948358895
4297,105577,62.1963117,32.56201635,0.862877331,4.035916914
4298,13350,53.92509363,40.06741573,0.606741573,4.06741573
4299,21623,64.58863247,28.79803913,0.772325764,3.611894742
4300,5488,55.75801749,36.16982507,1.111516035,4.172740525
4301,2417,75.29995863,22.30037236,0.330988829,1.903185767
4302,16887,77.95937704,19.88511873,0.337537751,1.817966483
4303,18893,82.19975652,15.45016673,0.396972424,1.455565553
4304,595072,44.68837384,51.49326468,0.839226178,2.621195418
4305,2157,76.81965693,20.81594808,0.278164117,1.20537784
4306,17232,79.19568245,17.6183844,0.568709378,2.274837512
4307,16280,72.997543,22.02088452,1.05036855,3.931203931
4308,10946,79.02430111,17.74164078,0.319751507,2.019002375
4309,6894,68.3637946,25.09428489,2.349869452,4.192051059
4310,12713,41.30417683,48.9734917,1.714780146,6.984976009
4311,15215,56.50345054,36.14196517,1.485376273,5.869208018
4312,72480,33.33747241,63.55270419,0.964403974,2.145419426
4313,5532,43.85394071,46.72812726,1.934201012,6.182212581
4314,13572,62.4005305,32.77335691,1.075744179,3.381962865
4315,38104,71.84547554,23.92662188,0.56686962,3.661032962
4316,42324,55.30904451,39.12437388,1.091579246,3.922124563
4317,47138,66.29258772,29.86337986,0.846450846,2.592388307
4318,23798,60.2739726,33.72132112,1.151357257,4.853349021
4319,6286,58.78141903,28.15781101,1.049952275,10.94495705
4320,16061,31.52979267,59.16194508,1.867878712,6.120415914
4321,9566,28.82082375,69.79928915,0.261342254,0.763119381
4322,19554,58.51488187,36.03866217,1.171115884,3.584944257
4323,87847,48.03009778,44.02654615,2.646647011,4.769656334
4324,193897,42.61231479,47.53554722,1.609617477,5.839182659
4325,156067,31.77801842,62.25467267,1.67748467,3.818231913
4326,75637,27.75493475,66.02853101,1.155519124,3.626531988
4327,136239,41.75749969,51.21587798,1.159726657,3.838842035
4328,3778,39.35944944,55.4261514,1.29698253,3.467443092
