location_id,white,black,hispanic,asian,american_ndian,other
3454,96.2,0.85,1.95,0.05,0.1,0.85
3455,92.25,2.45,2.7,1.1,0.25,1.25
3456,69.7,25.2,3.15,0.4,0.35,1.2
3457,93,2.3,2.15,0.7,0.15,1.75
3458,81.15,7.65,8.95,0.5,0.25,1.55
3459,87.4,7.05,2.9,0.85,0.35,1.4
3460,92.2,3.5,2,1.1,0.1,1.05
3461,71.3,1.55,24.8,0.7,0.25,1.35
3462,79,17.6,1.4,0.35,0.2,1.4
3463,94.2,1.2,2.7,0.3,0.45,1.15
3464,94.5,0.75,1.85,1.6,0.1,1.2
3465,67.75,10,15.9,4.4,0.1,1.9
3466,97,0.6,0.7,0.2,0.15,1.4
3467,91.95,0.5,4.25,0.55,0.45,2.3
3468,95.9,0.85,1.9,0.2,0.1,1.05
3469,93,2.4,1.9,1,0.65,1.05
3470,86.6,3.9,2.4,5.15,0.15,1.8
3471,59.75,30.4,5.05,2.7,0.25,1.8
3472,90.8,4.65,2.15,0.6,0.1,1.65
3473,89.85,3.55,2.4,1.85,0.2,2.1
3474,92.25,0.3,3.6,0.55,0.9,2.4
3475,54.35,37.25,5.4,0.75,0.15,2.1
3476,88.35,2.4,6.55,0.65,0.4,1.6
3477,83.7,9.4,4.9,0.2,0.35,1.4
3478,85.2,0.3,7.45,2,2.05,2.95
3479,73.65,19.85,2.75,0.95,0.45,2.25
3480,78.15,1,9.05,2.1,5.15,4.5
3481,72.35,11,12.35,2,0.15,2.15
3482,68.3,24.9,4.25,0.75,0.35,1.55
3483,45.1,42.7,5.75,3.15,0.4,2.9
3484,54.45,40.05,1.8,0.5,0.95,2.25
3485,96.5,0.3,1.2,0.5,0.3,1.2
3486,81.5,12,3.95,0.95,0.3,1.25
3487,89.2,3.55,1.55,0.65,0.4,4.65
3488,40.65,57.3,1.1,0.2,0.1,0.65
3489,88.95,0.35,6.8,1.05,0.8,2.05
3490,71.55,16.85,6.35,2.85,0.1,2.3
3491,68.15,22,3.95,2.35,2.1,1.45
3492,90.9,3.85,2.6,1,0.25,1.4
3493,74.1,22.45,2.05,0.3,0.1,1
3494,95.55,2.45,0.65,0.35,0.15,0.9
3495,94.9,2.3,1.45,0.2,0.3,0.85
3496,95.6,0.35,2.1,0.4,0.35,1.25
3497,97.15,0.7,0.5,0.05,0.65,0.95
3498,37.25,1.7,57.7,1,1,1.35
3499,91.15,0.4,1.4,0.35,5.15,1.6
3500,98.25,0.1,0.6,0.05,0.2,0.85
3501,53.15,2,29.05,0.5,14.1,1.1
3502,88.1,0.4,6.95,0.85,1.2,2.55
3503,90.55,0.6,7.1,0.7,0.2,0.85
3504,96.5,0.6,0.5,0.2,0.7,1.5
3505,88.4,2.9,2.35,4.95,0.15,1.25
3506,52.5,44.15,1.75,0.3,0.25,1
3507,68.6,18.95,6.85,2,0.5,3.15
3508,47.75,11.1,37.3,2.15,0.4,1.25
3509,96.4,0.45,1.05,0.45,0.25,1.4
3510,69.55,16.35,3.45,0.2,7.05,3.3
3511,79.9,14.25,2.25,2.25,0.15,1.1
3512,69.15,10.3,15.7,2.1,0.8,1.95
3513,95.95,0.35,1.2,0.3,0.65,1.45
3514,90.1,1.9,5.5,0.55,0.4,1.55
3515,77.4,10.75,9.25,0.35,1.6,0.55
3516,84.15,10.2,2.45,1.25,0.15,1.8
3517,85.8,0.9,7.7,0.8,2.55,2.2
3518,82.3,5.55,4.3,0.6,2.65,4.6
3519,31.35,65.8,1.55,0.25,0.25,0.75
3520,92.1,0.45,3.8,0.35,1.45,1.9
3521,78,13.85,6.45,0.1,0.7,0.9
3522,77.65,1.75,18.65,0.5,0.45,1
